value,productivity,cost,area
-0.31757524434253376,-0.44205924925988727,-0.38018127392509193,-0.4904526529213734
-0.3157565519474224,-0.44186631483178135,-0.3799742544918826,-0.49044698135021625
-0.3157565519474224,-0.4412772828488567,-0.37993586427101633,-0.4904398434255412
-0.3157565519474224,-0.4405151565612863,-0.3794095227085578,-0.49043170761050164
-0.3157565519474224,-0.44050189607674906,-0.37902870460959925,-0.49042071759610506
-0.3153729731877262,-0.44027030463329436,-0.37881452507739716,-0.49040519070743854
-0.3152463260627576,-0.4400578737787618,-0.3785130962448629,-0.4903914663449593
-0.31501094758626885,-0.4394733702761494,-0.378466903146581,-0.49038638799389317
-0.31476455114057916,-0.43887984352493076,-0.37841597644520997,-0.4903721222608848
-0.31443386656915967,-0.43826876484775573,-0.3782204435916639,-0.49037196010007805
-0.31443386656915967,-0.43785075408721796,-0.37820693701898256,-0.49036475377944844
-0.31443386656915967,-0.4377341591210279,-0.37786917089102107,-0.4903390192366053
-0.31443386656915967,-0.43755293168360504,-0.37786675354839583,-0.4902793835933033
-0.31443386656915967,-0.43751733329912706,-0.3777360920964278,-0.49027299667565793
-0.314202925702115,-0.43750359427452423,-0.37714648561963,-0.49025939617884967
-0.3141510499815795,-0.43742967886437817,-0.37655654237143427,-0.4902537443027019
-0.31410319522459396,-0.4373329820919877,-0.3757666983219627,-0.4902502816563766
-0.31410319522459396,-0.4368774239206511,-0.3754771211390993,-0.49023014203992354
-0.3140984335572322,-0.4367861525930284,-0.375022018078908,-0.49020312297984314
-0.3137725238800283,-0.43655018905523163,-0.37459104881482014,-0.49018905474273017
-0.3137725238800283,-0.43649634843912427,-0.3745451613314066,-0.49015196246372045
-0.3135151028517108,-0.4364713664374441,-0.3743184242902033,-0.4900904568071369
-0.3135151028517108,-0.4362255769932664,-0.37307849345080646,-0.4900661717651704
-0.3135151028517108,-0.43605970240632,-0.3730128355631298,-0.49004394196840434
-0.313499389349417,-0.43582166127310135,-0.3729184734060611,-0.48994466645593876
-0.3127805098463312,-0.4357209704646637,-0.3723016734028917,-0.4899168334257718
-0.3127805098463312,-0.4356802968130629,-0.37221032600948184,-0.4898921478614995
-0.3125688801858092,-0.43567431757729247,-0.37217554954077287,-0.48988923089855874
-0.3124680452659973,-0.4355481142063776,-0.37175418294842283,-0.4898635902683986
-0.31245645192865684,-0.4355361226252208,-0.37172924096732085,-0.48982217290883445
-0.3124498385017655,-0.4354814364412049,-0.3717007265006429,-0.4898039875539894
-0.3124498385017655,-0.4350334938149117,-0.37096981345769814,-0.48975372367556574
-0.3124498385017655,-0.4347888891375313,-0.3705582518324859,-0.48973871561468485
-0.3124498385017655,-0.43451171152660334,-0.37033509516833163,-0.4896549671983091
-0.3124498385017655,-0.43438574621338555,-0.3702687850964053,-0.4896179802198792
-0.3124498385017655,-0.4341747952606397,-0.3701011962510551,-0.4895917873659873
-0.3124497922077773,-0.43416679250029866,-0.36952563365214164,-0.48949163608064306
-0.31239058219681937,-0.43372484901684016,-0.3694803416694497,-0.4894575628829471
-0.3122869828645669,-0.43366069451598194,-0.36912851935891255,-0.48941767011451054
-0.31220981078617216,-0.43357727293849896,-0.3681126219169185,-0.4893768390665406
-0.31202657918072146,-0.43338896845072683,-0.36791912509847485,-0.4893404378083803
-0.3117884958126341,-0.4332884825079162,-0.36704594396354445,-0.48923882256906115
-0.3117884958126341,-0.4331528741397871,-0.3662821921388629,-0.4891617739804438
-0.3117884958126341,-0.4330029939515337,-0.36610481319547233,-0.4891526252598452
-0.3117713009027167,-0.432929185522296,-0.3660607617505366,-0.48910150670912156
-0.31161654671346,-0.4328051068202831,-0.3660388269760676,-0.48905978192339244
-0.3114945951215841,-0.4323738893278633,-0.3660309299157664,-0.4890578739775749
-0.31146377655227064,-0.43233184402649744,-0.36600049473400154,-0.48904455655128454
